"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 389",0.00459320180479396,0.000897109727498821,99.9660288390154
"comp 390",0.00453121212885723,0.000885002368917427,99.9669138413843
"comp 391",0.00444745425545983,0.000868643409269498,99.9677824847936
"comp 392",0.00422852699090865,0.000825884177911845,99.9686083689715
"comp 393",0.00418885669810648,0.000818136073848922,99.9694265050453
"comp 394",0.00412691100994142,0.000806037306629184,99.970232542352
"comp 395",0.00403335986276005,0.000787765598195323,99.9710203079501
"comp 396",0.00398447743040944,0.000778218248126843,99.9717985261983
"comp 397",0.00383538797260565,0.00074909921339954,99.9725476254117
"comp 398",0.00377871223956207,0.000738029734289466,99.973285655146
"comp 399",0.00370519772783088,0.000723671431216968,99.9740093265772
"comp 400",0.00365890091428373,0.000714629084821041,99.974723955662
"comp 401",0.00360797319463308,0.000704682264576773,99.9754286379266
"comp 402",0.00354614401425904,0.000692606252784968,99.9761212441794
"comp 403",0.00349972166894839,0.000683539388466481,99.9768047835678
"comp 404",0.00344050933769739,0.000671974480019021,99.9774767580478
"comp 405",0.00336979098011266,0.000658162300803253,99.9781349203487
"comp 406",0.00335190750194527,0.000654669433973685,99.9787895897826
"comp 407",0.00331028752994811,0.000646540533192991,99.9794361303158
"comp 408",0.00325777430492661,0.000636284043930979,99.9800724143598
"comp 409",0.00315607813598737,0.000616421510935033,99.9806888358707
"comp 410",0.00297732634383693,0.00058150905153065,99.9812703449222
"comp 411",0.00294369995288262,0.000574941397047386,99.9818452863193
"comp 412",0.00292138169381783,0.000570582362073796,99.9824158686813
"comp 413",0.00280379913101763,0.000547617017776881,99.9829634856991
"comp 414",0.00277703985750576,0.000542390597169093,99.9835058762963
"comp 415",0.00268350499186752,0.000524122068724124,99.984029998365
"comp 416",0.00266622379328144,0.000520746834625282,99.9845507451996
"comp 417",0.00260350794414871,0.000508497645341545,99.985059242845
"comp 418",0.0024874602964336,0.000485832089147187,99.9855450749341
"comp 419",0.00240880087999289,0.000470468921873611,99.986015543856
"comp 420",0.00237693008603465,0.000464244157428643,99.9864797880134
"comp 421",0.00234004405201272,0.000457039853908735,99.9869368278673
"comp 422",0.00232252190995323,0.00045361756053774,99.9873904454279
"comp 423",0.00225750153361503,0.000440918268284186,99.9878313636962
"comp 424",0.00219473305914623,0.000428658800614498,99.9882600224968
"comp 425",0.00215109120561616,0.000420135001096907,99.9886801574979
"comp 426",0.00210787990137579,0.000411695293237459,99.9890918527911
"comp 427",0.00201245216244768,0.000393057062978063,99.9894849098541
